recipe_name,recipe_type,category,ratings,ingredients,time_required,calories,fat,carbohydrates,protein,cholesterol,sodium,recipe_categories
Indian-Spiced Roasted Chickpeas,Veg,Appetizers,4.11428594589233,"['2 cups canned chickpeas, rinsed and drained', '1 tablespoon lemon juice', '2 tablespoons olive oil', '1 teaspoon brown sugar', '1 1/2 teaspoons ground cumin', '1/2 teaspoon ground coriander', '1/4 teaspoon ground cinnamon', '1 teaspoon garam masala', '1 pinch ground black pepper', '1 pinch cayenne pepper, or to taste', '1/2 teaspoon salt, or to taste']",2 h 35 m,215.0,8.5,29.7,6.2,0.0,653.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Samosas,Veg,Appetizers,4.12,"['2 cups all-purpose flour', '½ teaspoon salt', '2 tablespoons butter', '¼ cup water', '1 quart oil for deep frying', '2 tablespoons butter', '1 small onion, chopped', '2 cloves garlic, chopped', '2  green chile peppers, chopped', '1 tablespoon fresh ginger root, chopped', '½ teaspoon ground turmeric', '½ teaspoon chili powder', '¾ pound ground lamb', '1 teaspoon salt', '2 teaspoons garam masala', '1\u2009½ tablespoons fresh lemon juice']",50 mins,105.0,7.3,7.2,2.9,12.0,135.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Indian Chole Aloo Tikki,Veg,Appetizers,4.4210524559021,"['2 potatoes', 'salt and freshly ground black pepper to taste', '3 1/2 tablespoons vegetable oil, divided', '1 tablespoon cornstarch', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 teaspoon cayenne pepper', '1 tablespoon chopped fresh cilantro', '1/2 teaspoon black peppercorns', '2 whole cloves', '2 small dried chile peppers (optional)', '1 teaspoon cumin seeds', '2 bay leaves', '1 onion, chopped', '2 cloves garlic, grated', '1 (1/2 inch) piece fresh ginger, grated', '2 teaspoons curry powder', '1 teaspoon ground turmeric', '1 teaspoon tomato paste', '1 teaspoon water', '1 tomato, chopped', '1 (15 ounce) can garbanzo beans, drained', '1 tablespoon cilantro leaves']",1 h 10 m,314.0,13.5,43.6,6.9,0.0,274.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Easy Baked Indian Samosas,Veg,Appetizers,4.5,"['4 potatoes, peeled and cubed', '1/4 cup oil', '2 small onions, finely chopped', '3 tablespoons coriander seed', '1 tablespoon curry powder', '1 (1 inch) piece fresh ginger, grated', '1 teaspoon salt', '1 teaspoon ground turmeric', '1 teaspoon ground cumin', '1/2 teaspoon ground allspice', '1/2 teaspoon cayenne pepper', '1/8 teaspoon ground cinnamon', '2 roma (plum) tomatoes, finely chopped', '1/2 cup frozen peas', '4 prepared pie crusts', '2 egg whites, beaten, or as needed']",1 h 40 m,315.0,18.7,32.7,4.9,0.0,396.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Non_Veg', 'Egg']"
Mini Sweet Potato Samosas,Veg,Appetizers,3.96296286582947,"['1 sweet potato, peeled and diced', '1 teaspoon butter', '1 tablespoon milk', '1 tablespoon dry onion soup mix', 'curry powder to taste', '20 wonton wrappers', 'sesame oil for brushing']",45 m,169.0,3.0,30.6,4.7,7.0,332.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Chennai Chicken Wings,Veg,Appetizers,4.46,"['2 tablespoons cornstarch', '2 tablespoons rice flour', '4 teaspoons cayenne pepper', '4 teaspoons paprika', '4 teaspoons ground cumin', '4 teaspoons garam masala', '1 teaspoon ground turmeric', '2 teaspoons freshly ground black pepper', '4 teaspoons kosher salt']",45 mins,190.0,12.7,6.3,12.9,38.0,819.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Yogurt Samosas,Veg,Appetizers,3.63636374473572,"['1 tablespoon vegetable oil', '2 onions, finely chopped', '1 cup plain yogurt', '1 teaspoon curry powder', '1/2 teaspoon chili powder', '2 tablespoons chopped fresh cilantro', '1/4 cup chopped fresh cilantro', '1 (16 ounce) package frozen phyllo dough, thawed', '1/2 cup plain yogurt', '3 tablespoons half-and-half cream', '1/4 cup water', '1 cup all-purpose flour', '3 cups oil for frying, or as needed']",35 m,161.0,6.6,21.2,3.8,2.0,137.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Layered Chutney Dip,Veg,Appetizers,4.72727251052856,"['1 (8 ounce) package cream cheese, softened', '2 tablespoons sour cream', '2 teaspoons curry powder', '1 (8 ounce) jar mango chutney (such as Major Grey®), chunks removed', '1 cup shredded coconut, or to taste', '1/2 cup chopped cashews, or to taste', '4 green onions, chopped, or to taste']",15 m,278.0,22.2,18.3,4.9,32.0,151.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Indian Spiced Onions,Veg,Appetizers,2.83333325386047,"['1 onion, chopped', '2 teaspoons ketchup', '1 teaspoon lemon juice', '1 tablespoon white sugar', '1 pinch salt', '1 teaspoon chopped fresh cilantro', '1 teaspoon chopped fresh fenugreek leaves', '1 teaspoon chili powder']",1 d 5 m,28.0,0.2,6.6,0.5,0.0,36.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Spicy Potato Noodles (Bataka Sev),Veg,Appetizers,4.59999990463257,"['For the Green Chile Paste:', '1/4 cup chopped fresh green chile peppers', '1 tablespoon coarsely chopped garlic', '2 tablespoons fresh ginger, peeled and coarsely chopped', '1 teaspoon salt', '1/8 teaspoon ground turmeric', '2 teaspoons vegetable oil', 'for the noodles:', '1 pound potatoes, peeled', '3 cups water', '3 1/2 cups chickpea flour', '2 1/2 teaspoons salt', '1 teaspoon ground turmeric', '2 tablespoons mustard oil', 'vegetable oil for deep frying']",1 h 25 m,336.0,18.4,35.2,9.4,0.0,1024.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Sago Sabudana Khichdi,Veg,Appetizers,4.59999990463257,"['1 cup dry sago', '1/4 cup ghee', '2 green chile peppers, chopped', '1 teaspoon cumin seeds', '2 tablespoons coarsely ground peanuts', '2 tablespoons grated fresh coconut', '1 teaspoon white sugar', 'salt to taste', '2 tablespoons chopped cilantro (optional)', '1/4 cup plain yogurt (optional)']",8 h 30 m,613.0,32.7,76.2,6.2,67.0,36.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Lentil Samosas,Veg,Appetizers,4.25,"['3/4 cup dried brown lentils', '3 tablespoons olive oil, divided', '1 onion, diced', '2 teaspoons curry powder', '1 teaspoon ground cardamom', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 pinch cayenne pepper (optional)', '1 yam, peeled and sliced', '1/2 cup water', '1/4 cup coconut milk', '6 dried apricots, chopped', '1/2 teaspoon sea salt', '1 (16 ounce) package samosa pastry (egg roll wrappers)']",8 h 55 m,378.0,7.9,65.5,11.8,5.0,440.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Non_Veg', 'Egg']"
Indian Onion Dipping Sauce,Veg,Appetizers,3.25,"['1 onion, chopped, or more to taste', '1 1/2 tablespoons lemon juice', '1 teaspoon ketchup, or more to taste (optional)', '1/2 teaspoon cayenne pepper', '1/2 teaspoon hungarian paprika', '1/2 teaspoon salt', '1 pinch white sugar (optional)']",2 h 10 m,11.0,0.1,2.7,0.3,0.0,123.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Veggie Samosas,Veg,Appetizers,4.5,"['Filling:', '2 tablespoons vegetable oil', '1/2 cup diced onion', '2 teaspoons chopped garlic', '2 teaspoons curry powder', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1/2 teaspoon sea salt', '1/2 teaspoon red pepper flakes', '1/2 teaspoon ground coriander', '1/2 teaspoon cayenne pepper', '1/4 teaspoon celery seed', '1/4 teaspoon dried tarragon', '1/8 teaspoon ground cinnamon', '2 cups diced potatoes', '2 cups frozen mixed vegetables, diced', '2 cups vegetable broth', 'dough:', '2 cups all-purpose flour', '1 pinch salt', '2 tablespoons vegetable oil', '1 cup room-temperature water', 'oil for frying']",1 h 40 m,137.0,5.9,18.5,2.7,0.0,130.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Bhel Puri,Veg,Appetizers,3.33333325386047,"['1 onion, finely chopped', '3/4 cup grated fresh coconut', '2 tablespoons finely chopped green chile pepper', '2 tablespoons finely chopped fresh cilantro', '1 teaspoon lemon juice', '1 teaspoon coconut oil, melted (optional)', '1/2 teaspoon minced fresh ginger root', 'salt to taste', '1 tablespoon water', '2 cups puffed rice']",15 m,179.0,12.5,16.4,2.4,0.0,10.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Curried Celery,Veg,Appetizers,5,"['1/2 cup cream cheese, softened', '1/2 cup raisins, finely chopped', '2 tablespoons minced peeled apple', '1 teaspoon medium curry powder, or to taste', '1/2 teaspoon lemon juice', '8 stalks celery, or as needed, cut into thirds']",20 m,90.0,5.2,10.2,1.7,16.0,76.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Brussels Sprout Pakora,Veg,Appetizers,4,"['1 (16 ounce) package Brussels sprouts', '1 cup chickpea flour', '3 tablespoons rice flour', '1 tablespoon ground coriander', '1 teaspoon ground cumin', '1/2 teaspoon baking powder', 'salt and ground black pepper to taste', '1 cup water, or more as needed', '1/2 cup chopped fresh cilantro', '2 chile peppers, seeded and diced', 'vegetable oil for frying']",25 m,374.0,24.4,33.4,9.8,0.0,135.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Indian Curried Spinach Dip,Veg,Appetizers,3.5,"['1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 teaspoon ground cumin', '1 teaspoon curry powder', '1/4 teaspoon ground turmeric', '1/8 teaspoon cayenne pepper', '1 cube vegetable bouillon', '1/2 cup warm water', '2 teaspoons olive oil', '1 red onion, finely diced', '2 cloves garlic, diced', '1/2 cup plain greek yogurt (such as greek gods®)', '1/3 (8 ounce) package cream cheese (such as philadelphia®)', 'salt and pepper to taste']",30 m,157.0,12.0,8.2,6.1,26.0,169.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Easy Raita with Mint and Cilantro,Veg,Appetizers,5,"['2 (7 ounce) containers Greek yogurt', '1 cucumber, peeled and diced', '2 tablespoons chopped fresh mint', '2 tablespoons chopped fresh cilantro', '1/2 teaspoon ground cumin', 'salt and ground black pepper to taste']",15 m,71.0,5.1,3.4,3.3,11.0,53.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Spicy Egg & Minced Lamb Roll,Veg,Appetizers,3,"[""2 tablespoons Patak's Mild Curry Paste"", '4 eggs', '7 ounces minced lamb', '1 onion, diced', '3 tomatoes, diced', '2 tablespoons olive oil', '1 tablespoon chopped fresh cilantro', '4 flour tortillas or naan bread', 'salt to taste']",45 m,430.0,23.2,35.3,20.4,220.0,398.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Baked Onion Bhajis,Veg,Appetizers,5,"['2 teaspoons extra-virgin olive oil, or as needed', '5 small onions, thinly sliced', 'Spices for the Pan:', '1/4 teaspoon chili powder', '1/2 teaspoon ground turmeric', '1/2 teaspoon ground coriander', '1/4 teaspoon ground cumin', '1/4 teaspoon ground ginger', 'for the bhaji mix:', '5 tablespoons chickpea flour', '1/2 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1 pinch salt', '1 tablespoon tomato puree', '1 tablespoon water, or as needed', '1 tablespoon extra-virgin olive oil, divided, or to taste']",1 h 10 m,60.0,3.3,6.8,1.3,0.0,30.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Corn and Pea Samosas in Caraway Seed Pastry,Veg,Appetizers,5,"['1 1/2 cups all-purpose flour', '2 tablespoons ghee (clarified butter)', '1 tablespoon caraway seeds', '1/2 cup warm water', 'Filling:', '1 1/2 tablespoons ghee (clarified butter)', '1/2 small onion, finely chopped', '2 cloves garlic, crushed', '2 teaspoons grated fresh ginger', '2 teaspoons garam masala', '1/2 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1/4 teaspoon ground turmeric', '1/4 teaspoon chile powder', '1/2 cup corn, drained and rinsed', '1/2 cup frozen peas, or to taste', '1/4 cup coconut milk', '1 cup vegetable oil for frying']",1 h 25 m,164.0,14.1,8.7,1.3,6.0,14.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Vegetable Samosas with Potatoes and Peas,Veg,Appetizers,4,"['1 1/2 pounds russet potatoes, peeled and diced', '1/2 cup frozen peas', '1 teaspoon garam masala', '1 teaspoon salt', '1/2 teaspoon ground turmeric', '1/8 teaspoon cayenne pepper', 'Dough:', '1 1/2 cups all-purpose flour', '3/4 teaspoon salt', '1 tablespoon vegetable oil', '6 tablespoons ice water, or more if needed', 'filling:', '1/4 cup butter', '1 tablespoon olive oil, or as needed', '1/2 cup chopped yellow onion', '4 teaspoons ginger-garlic paste', '1 squeeze lemon juice', '1 cup vegetable oil for frying, or as needed']",1 h 35 m,219.0,9.9,28.2,3.9,12.0,522.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Vegetable Curry Samosas,Veg,Appetizers,4,"['2 teaspoons vegetable oil', '1 onion, diced', '1 tablespoon curry powder', '1 tablespoon mustard seeds', '2 teaspoons cumin seeds', '1/2 cup vegetable broth', '2 small potatoes, cut into small cubes', '1 carrot, cut into small cubes', '1/4 pound frozen peas', '1 (17.5 ounce) package frozen puff pastry, thawed', '1 egg, lightly beaten', 'curry sauce:', '2 cups mayonnaise', '2/3 cup sour cream', '1/2 cup white sugar', '1/2 cup lemon juice', '1/2 cup horseradish', '2 tablespoons curry powder, or more to taste', 'salt and ground black pepper to taste']",55 m,461.0,36.9,29.8,4.6,26.0,303.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Non_Veg', 'Egg']"
Air Fryer Pakoras,Veg,Appetizers,5,"['2 cups chopped cauliflower', '1 cup diced yellow potatoes', '1 1/4 cups chickpea flour (besan)', '3/4 cup water', '1/2 red onion, chopped', '1 tablespoon salt', '1 clove garlic, minced', '1 teaspoon curry powder', '1 teaspoon coriander', '1/2 teaspoon ground cayenne pepper, or more to taste', '1/2 teaspoon cumin', '1 serving cooking spray']",40 m,81.0,1.2,14.3,4.3,0.0,891.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Stuffed Okra,Veg,Appetizers,4,"['2 tablespoons mango powder (amchur)', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1/2 teaspoon chili powder (optional)', '1/2 teaspoon salt', '1/2 teaspoon vegetable oil', '1 pound large okra', '1/4 cup corn flour', 'vegetable oil for frying']",2 h 20 m,200.0,12.2,22.3,3.2,0.0,307.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Baked Sweet Potato Vegetable Samosas,Veg,Appetizers,2,"['3 tablespoons vegetable oil', '2 cups diced sweet potato', '1 1/2 cups diced eggplant', '1 small onion, diced small', '2 tablespoons curry powder', '1 tablespoon ground cumin', '1 tablespoon garam masala (optional)', '3 cups vegetable broth, or more if needed', '1/4 cup all-purpose flour, or as needed', '2 sheets prepared pie crust']",1 h 50 m,366.0,22.3,37.4,5.0,0.0,451.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Hyderabadi Nargisi Kofta,Veg,Appetizers,4,"['1 1/4 pounds ground lamb', '1 cup water', '1 cinnamon stick', '1/4 teaspoon ground turmeric', 'salt to taste', '1 onion, minced', '1 egg, beaten', '3 tablespoons chickpea flour', '1 tablespoon ginger garlic paste', '3 green chile peppers, minced', '1 teaspoon ground coriander', '1 teaspoon garam masala', '1/2 teaspoon ground cumin', '1/2 teaspoon ground red pepper', '8 eggs', 'oil for deep frying', '1 teaspoon chaat masala', '1/2 cup chopped fresh cilantro', '8 wedges lime, as garnish']",9 h 40 m,353.0,26.6,7.5,20.5,256.0,267.0,"['Indian', 'Snacks', 'Breakfast', 'Non_Veg', 'Egg']"
Peanut Chaat,Veg,Appetizers,0,"['3 3/4 cups raw peanuts', '2 tomatoes, finely chopped', '1 onion, finely chopped', '1 lime, juiced, or to taste', '1 teaspoon red chile powder, or to taste', 'salt to taste', '2 tablespoons chopped fresh cilantro, or to taste']",15 m,804.0,67.7,28.3,36.3,0.0,68.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Sweet Curry Pumpkin Seeds,Veg,Appetizers,0,"['1 1/2 cups fresh pumpkin seeds, washed and dried', '1/4 cup brown sugar', '1 tablespoon ground cinnamon', '1 tablespoon curry powder', '3 tablespoons vegetable oil, or as needed']",45 m,173.0,13.7,10.0,5.2,0.0,6.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Air Fryer Onion Bhaji,Veg,Appetizers,0,"['1 small red onion, thinly sliced', '1 small yellow onion, thinly sliced', '1 tablespoon salt', '1 jalapeno pepper, seeded and minced', '1 clove garlic, minced', '1 teaspoon coriander', '1 teaspoon chili powder', '1 teaspoon ground turmeric', '1/2 teaspoon cumin', '2/3 cup chickpea flour (besan)', '4 tablespoons water, or as needed', 'cooking spray']",35 m,40.0,0.7,6.8,2.1,0.0,882.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Onion Bhaji,Veg,Appetizers,0,"['1 tablespoon olive oil', '4 medium onions, sliced into 1/4-inch thick rings', '1/2 teaspoon turmeric powder', '1/2 teaspoon ground coriander', '1/4 teaspoon ground cumin', '1/4 teaspoon ground ginger', '1/4 teaspoon chili powder', 'Batter:', '3 tablespoons all-purpose flour', '2 tablespoons garam masala', '1/2 teaspoon salt', '1/2 teaspoon ground coriander', '1/2 teaspoon granulated garlic', '1/2 teaspoon turmeric powder', '1/4 teaspoon ground cumin', '1 pinch saffron', '2 teaspoons tomato paste', '2 tablespoons water', 'vegetable oil for frying']",25 m,213.0,15.5,18.6,2.4,0.0,329.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Indian Chickpea Chaat Salad,Veg,Appetizers,0,"['2 cucumbers, finely chopped', '1 tomato, finely chopped', '1/2 cup chickpeas', '2 teaspoons lemon juice, or to taste', '1 teaspoon chaat masala', 'salt to taste']",10 m,136.0,1.1,27.6,5.4,0.0,416.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Vegetable Pakora,Veg,Appetizers,0,"['vegetable oil for frying', '1 cup gram flour (besan)', '1 teaspoon ground cumin', '1/2 teaspoon cayenne pepper', '1/8 teaspoon ground turmeric', 'salt to taste', 'water, or as needed', '2 tablespoons chopped cilantro', '2 tablespoons chopped fresh spinach', '1/2 cup sliced potatoes', '1/2 cup cauliflower florets', '1/2 cup red onion, sliced lengthwise']",40 m,599.0,56.8,19.2,6.1,0.0,64.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Authentic Indian Vegetarian Samosas ,Veg,Appetizers,0,"['Filling:', '4 medium potatoes, peeled and cubed', '1/2 cup frozen peas, thawed', '1/2 cup raisins', '1 green chile pepper, finely chopped', '1 tablespoon garam masala', '1 teaspoon finely grated fresh ginger', '1 pinch red chile powder, or to taste', 'salt to taste', 'shell:', '1 cup all-purpose flour', '2 tablespoons vegetable oil', '1 pinch ground cinnamon', 'salt to taste', '1 cup water, or as needed', 'vegetable oil for frying']",1 h 10 m,302.0,14.9,39.9,4.3,0.0,50.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Potato and Pea Samosas ,Veg,Appetizers,0,"['4 potatoes, peeled and cut into 1-inch cubes', 'Dough:', '2 cups all-purpose flour', '1/2 teaspoon salt', '4 tablespoons vegetable oil', '4 tablespoons water', '5 tablespoons vegetable oil', '1 1/2 medium onions, finely chopped', '1 bunch fresh cilantro, chopped', '3/4 cup green peas', '3 green chilies, finely chopped', '3 tablespoons water, or more as needed', '1 tablespoon finely chopped ginger', '2 tablespoons lemon juice', '1 teaspoon ground coriander', '1 teaspoon chaat masala', '3/4 teaspoon amchur powder', '1/2 teaspoon ground cumin', '1/2 teaspoon garam masala', '1/4 teaspoon cayenne pepper', 'salt to taste', '1/4 cup water', '2 tablespoons all-purpose flour', '1 cup vegetable oil for frying, or as needed']",1 h 45 m,396.0,18.8,50.6,7.1,0.0,216.0,"['Indian', 'Snacks', 'Samosa', 'Breakfast', 'Veg']"
Microwave Khandvi,Veg,Appetizers,0,"['2 cups water', '1 cup thick buttermilk', '1 cup chickpea flour', '1 1/2 teaspoons white sugar', '1 teaspoon asafoetida powder', '1 teaspoon ground turmeric', 'salt to taste', '1 tablespoon peanut oil', '1 teaspoon mustard seeds', '1 teaspoon chopped curry leaves', '1 teaspoon asafoetida powder']",31 m,124.0,4.6,15.7,5.6,2.0,86.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Kachori With Fresh Peas,Veg,Appetizers,0,"['1 tablespoon oil', '2 fresh green chile peppers, chopped', '1/2 teaspoon jeera (cumin seeds)', '1 pinch hing (asafoetida powder)', '2 cups fresh peas', '1 teaspoon white sugar', 'salt to taste', '2 cups maida (refined white flour)', '1 tablespoon oil', '2 tablespoons water, or more as needed', '1 tablespoon chopped fresh coriander (cilantro), or to taste', '1 teaspoon lemon juice', 'vegetable oil for frying']",45 m,382.0,13.7,59.9,10.4,0.0,45.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Potato Bonda (Spicy Potato Balls),Veg,Appetizers,0,"['1 pound potatoes, peeled and quartered', '2 tablespoons light sesame oil', '1 1/2 teaspoons cumin seeds', '6 fresh curry leaves, chopped, or more to taste', '1/2 cup minced onion', '2 green chile peppers, minced', '1 1/2 teaspoons ginger paste', '1/2 teaspoon ground turmeric', '1/2 teaspoon curry powder', '1 cup chickpea flour (besan)', '1 tablespoon rice flour', '1 teaspoon ground red chile pepper', '1 pinch asafoetida powder (hing)', '1/4 cup water, or as needed', 'vegetable oil for frying']",1 h,186.0,10.0,21.0,4.5,0.0,13.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
South Indian-Style Okra Fritters,Veg,Appetizers,0,"['1/2 pound okra, finely chopped', '1 green chile pepper, finely chopped', '2 tablespoons finely chopped fresh cilantro leaves', '1 tablespoon shortening', '1 teaspoon salt, or to taste', '1 teaspoon grated fresh ginger', '3 tablespoons rice flour, or as needed', '1 tablespoon chickpea (garbanzo bean) flour, or as needed', '2 cups vegetable oil for frying, or as needed']",25 m,145.0,11.6,9.6,1.7,0.0,470.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Creamy Curry Sauce,Veg,Appetizers,0,"['7 1/2 cups sour cream', '1/2 cup lemon juice', '3 tablespoons curry paste', '2 teaspoons salt', '1 teaspoon ground black pepper', '1 teaspoon curry powder', '1 teaspoon dried basil', '1 teaspoon ground thyme']",5 m,126.0,12.1,3.1,1.9,25.0,214.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Curried Mango Chutney Dip,Veg,Appetizers,0,"['1/2 teaspoon sunflower oil', '1 onion, chopped', '2 cloves garlic, crushed', '1/2 teaspoon mild curry powder', '1 cup plain yogurt', '2 tablespoons mango chutney', '2 tablespoons chopped fresh parsley']",15 m,18.0,0.4,2.7,1.0,0.0,12.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Curry Dip,Veg,Appetizers,0,"['2 cups mayonnaise', '2 teaspoons tarragon vinegar', '2 teaspoons prepared horseradish', '2 teaspoons finely grated onion', '1/2 teaspoon curry powder']",2 h 5 m,198.0,21.8,1.0,0.3,10.0,158.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
